Time (microseconds),Ia,Ib,Ic,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
2588888.89,0.154278442263603,-0.0292626395821571,-0.258641451597214,0.200000002980232,-0.200000002980232,0.185537278652191,-0.138696566224098
2594444.44,0.0991320312023163,-0.309859603643417,0.0124481832608581,0.200000002980232,-0.200000002980232,0.178048059344292,-0.168392136693001
2600000.00,-0.209840625524521,-0.279338419437408,0.174454316496849,0.200000002980232,-0.200000002980232,0.104601681232452,-0.264209240674973
2605555.56,-0.416340619325638,0.095547266304493,-0.0825694054365158,0.200000002980232,-0.200000002980232,0.099907398223877,-0.287739455699921
2611111.11,0.0952834114432335,-0.0333881713449955,-0.255961835384369,0.200000002980232,-0.200000002980232,0.159972280263901,-0.12850296497345
2616666.67,0.11396487057209,-0.338148176670074,-0.132637217640877,0.200000002980232,-0.200000002980232,0.116934150457382,-0.231815621256828
2622222.22,-0.187295630574226,-0.148055538535118,0.207463145256042,0.200000002980232,-0.200000002980232,0.145283624529839,-0.20555579662323
2627777.78,-0.28416782617569,0.11422261595726,-0.0796139761805534,0.200000002980232,-0.200000002980232,0.106352441012859,-0.203115791082382
2633333.33,0.0509292893111706,-0.0462222136557102,-0.244310528039932,0.200000002980232,-0.200000002980232,0.124816820025444,-0.118513949215412
2638888.89,0.0970693603157997,-0.323218613862991,0.00560373440384865,0.200000002980232,-0.200000002980232,0.187833204865456,-0.168831020593643
2644444.44,-0.202538356184959,-0.210208490490913,0.110705830156803,0.200000002980232,-0.200000002980232,0.099487841129303,-0.184758707880974
2650000.00,-0.246269598603249,0.0493579842150211,-0.137321174144745,0.200000002980232,-0.200000002980232,0.108622223138809,-0.134176477789879
2655555.56,0.0929655805230141,-0.0985997021198273,-0.196586221456528,0.200000002980232,-0.200000002980232,0.157698169350624,-0.0568444132804871
2661111.11,0.0787682682275772,-0.298947155475616,0.0135715454816818,0.200000002980232,-0.200000002980232,0.17829754948616,-0.148042291402817
2666666.67,-0.2064258903265,-0.172255769371986,0.174649953842163,0.200000002980232,-0.200000002980232,0.136215105652809,-0.199609160423279
2672222.22,-0.218274921178818,0.0933537185192108,-0.0978991463780403,0.200000002980232,-0.200000002980232,0.106793403625488,-0.14507769048214
2677777.78,0.109324567019939,-0.0953176841139793,-0.259012192487717,0.200000002980232,-0.200000002980232,0.188896924257278,-0.0927753821015358
