Time (microseconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
141316875.00,0.34165146946907,-0.370030641555786,0.5,-0.5,0.927666485309601,-1.12178325653076
141525000.00,0.340333104133606,-0.36920240521431,0.5,-0.5,0.950403213500977,-1.07039737701416
141733125.00,0.338877499103546,-0.368047654628754,0.5,-0.5,0.996913194656372,-1.0693336725235
141941250.00,0.337179362773895,-0.367733061313629,0.5,-0.5,1.09035038948059,-0.930437326431274
142149375.00,0.336091369390488,-0.367215663194656,0.5,-0.5,1.08335721492767,-0.82221120595932
142357500.00,0.33661025762558,-0.364305555820465,0.5,-0.5,0.806763350963593,-1.11832022666931
142565625.00,0.334151387214661,-0.364537805318832,0.5,-0.5,1.02751100063324,-0.88940691947937
142773750.00,0.332976013422012,-0.363396406173706,0.5,-0.5,1.03327775001526,-0.892316997051239
142981875.00,0.332129389047623,-0.362139493227005,0.5,-0.5,1.01218676567078,-0.891333103179932
143190000.00,0.33107927441597,-0.360821723937988,0.5,-0.5,0.978500962257385,-0.948576331138611
143398125.00,0.329828441143036,-0.359581977128983,0.5,-0.5,1.00272858142853,-0.972888171672821
143606250.00,0.328794717788696,-0.35843226313591,0.5,-0.5,0.994160830974579,-0.976920962333679
143814375.00,0.32769450545311,-0.357378363609314,0.5,-0.5,0.999488830566406,-0.969626486301422
144022500.00,0.326658606529236,-0.356281757354736,0.5,-0.5,0.992245197296143,-0.965423703193665
144230625.00,0.325211942195892,-0.355540961027145,0.5,-0.5,1.05487823486328,-0.906641483306885
144438750.00,0.323759526014328,-0.355138123035431,0.5,-0.5,1.12342941761017,-0.771200358867645
144646875.00,0.32240417599678,-0.354635626077652,0.5,-0.5,1.17662560939789,-0.692160546779633
144855000.00,0.322930723428726,-0.352027714252472,0.5,-0.5,0.915907025337219,-0.946394562721252
145063125.00,0.32220846414566,-0.350522458553314,0.5,-0.5,0.8625168800354,-1.01571655273438
145271250.00,0.321273475885391,-0.349626272916794,0.5,-0.5,0.847991943359375,-0.987263679504395
145479375.00,0.320455849170685,-0.348393440246582,0.5,-0.5,0.820276081562042,-1.01374542713165
