Time (microseconds),Ia,Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
79479166.67,0.748636245727539,0.192137166857719,-0.23040696978569,1,-0.699999988079071,1.02503001689911,-0.670212507247925
79583333.33,-0.0875006094574928,0.190669029951096,-0.229679077863693,1,-0.699999988079071,1.04768204689026,-0.65049147605896
79687500.00,-0.881229519844055,0.191898956894875,-0.227237418293953,1,-0.699999988079071,1.02580583095551,-0.663086891174316
79791666.67,-1.17375266551971,0.19491571187973,-0.230003759264946,1,-0.699999988079071,0.974287092685699,-0.684357702732086
79895833.33,-1.02996897697449,0.194126710295677,-0.231248810887337,1,-0.699999988079071,0.985551595687866,-0.697534263134003
80000000.00,-0.348825186491013,0.193632751703262,-0.230450510978699,1,-0.699999988079071,0.992655098438263,-0.739710927009583
80104166.67,0.506831705570221,0.194240435957909,-0.233390614390373,1,-0.699999988079071,0.979575097560883,-0.694773316383362
80208333.33,1.12446367740631,0.190051972866058,-0.23581974208355,1,-0.699999988079071,1.04751694202423,-0.675964891910553
80312500.00,1.20040810108185,0.188775971531868,-0.232180520892143,1,-0.699999988079071,1.06554543972015,-0.691345930099487
80416666.67,0.754685819149017,0.188801914453506,-0.230138972401619,1,-0.699999988079071,1.06371331214905,-0.638202846050262
80520833.33,-0.0523090064525604,0.190659329295158,-0.229628682136536,1,-0.699999988079071,1.03165948390961,-0.606177687644959
80625000.00,-0.829638242721558,0.195095062255859,-0.226874813437462,1,-0.699999988079071,0.956541657447815,-0.669359624385834
80729166.67,-1.21001756191254,0.194773182272911,-0.22872506082058,1,-0.699999988079071,0.961591482162476,-0.704038083553314
80833333.33,-1.04318499565125,0.192406505346298,-0.231468558311462,1,-0.699999988079071,1.00035858154297,-0.713319599628448
80937500.00,-0.334285259246826,0.195762872695923,-0.234240770339966,1,-0.699999988079071,0.942907154560089,-0.759462952613831
81041666.67,0.529155194759369,0.192277878522873,-0.233080640435219,1,-0.699999988079071,0.999379992485046,-0.729530096054077
81145833.33,1.16333734989166,0.187153667211533,-0.236624225974083,1,-0.699999988079071,1.08306062221527,-0.682138442993164
81250000.00,1.18927109241486,0.186095118522644,-0.235605359077454,1,-0.699999988079071,1.0980099439621,-0.641278684139252
81354166.67,0.738743185997009,0.190573841333389,-0.229303807020187,1,-0.699999988079071,1.02063941955566,-0.661569476127625
81458333.33,-0.0753974318504334,0.191600412130356,-0.228381142020226,1,-0.699999988079071,1.00180745124817,-0.604454755783081
81562500.00,-0.861684620380402,0.192456021904945,-0.230779603123665,1,-0.699999988079071,0.985979616641998,-0.624168157577515
81666666.67,-1.25452661514282,0.190468698740005,-0.23028427362442,1,-0.699999988079071,1.01772236824036,-0.729691982269287
81770833.33,-0.962042212486267,0.191396921873093,-0.233007773756981,1,-0.699999988079071,1.00082075595856,-0.745888113975525
81875000.00,-0.322052210569382,0.194071546196938,-0.232560336589813,1,-0.699999988079071,0.955657482147217,-0.705378532409668
81979166.67,0.59399402141571,0.188949912786484,-0.235295578837395,1,-0.699999988079071,1.03896570205688,-0.716726303100586
82083333.33,1.15360975265503,0.186814114451408,-0.236678972840309,1,-0.699999988079071,1.07328724861145,-0.672124862670898
82187500.00,1.18049347400665,0.187095418572426,-0.234464421868324,1,-0.699999988079071,1.06711328029633,-0.680995285511017
82291666.67,0.691075384616852,0.187208399176598,-0.233119353652,1,-0.699999988079071,1.06327152252197,-0.63736629486084
82395833.33,-0.124254159629345,0.189542025327682,-0.230915606021881,1,-0.699999988079071,1.02263474464417,-0.616443395614624
82500000.00,-0.876661419868469,0.18922483921051,-0.230677023530006,1,-0.699999988079071,1.02643191814423,-0.655874609947205
82604166.67,-1.22447693347931,0.193322896957397,-0.230933263897896,1,-0.699999988079071,0.956410765647888,-0.678254544734955
82708333.33,-0.967377305030823,0.190544992685318,-0.233675971627235,1,-0.699999988079071,0.999957084655762,-0.71804016828537
82812500.00,-0.281746864318848,0.191890150308609,-0.233554676175117,1,-0.699999988079071,0.97542929649353,-0.723463892936707
82916666.67,0.579106509685516,0.189550325274467,-0.233498647809029,1,-0.699999988079071,1.01248395442963,-0.720793306827545
83020833.33,1.14025580883026,0.186910375952721,-0.238681927323341,1,-0.699999988079071,1.05424094200134,-0.677356600761414
83125000.00,1.26067197322845,0.184762537479401,-0.23128205537796,1,-0.699999988079071,1.08695554733276,-0.680596530437469
83229166.67,0.688445329666138,0.184203281998634,-0.231057986617088,1,-0.699999988079071,1.09416043758392,-0.682335615158081
83333333.33,-0.18064272403717,0.186595231294632,-0.233160942792892,1,-0.699999988079071,1.05217552185059,-0.598274111747742
83437500.00,-0.899674236774445,0.191080033779144,-0.231498941779137,1,-0.699999988079071,0.97555410861969,-0.722838759422302
83541666.67,-1.20809149742126,0.190562576055527,-0.231903061270714,1,-0.699999988079071,0.981612086296082,-0.728380084037781
83645833.33,-0.957545459270477,0.189745381474495,-0.233941853046417,1,-0.699999988079071,0.993571639060974,-0.694648385047913
83750000.00,-0.236793905496597,0.188042894005775,-0.236861512064934,1,-0.699999988079071,1.02106261253357,-0.723217010498047
83854166.67,0.56437212228775,0.190683111548424,-0.237336546182632,1,-0.699999988079071,0.97481495141983,-0.717466056346893
83958333.33,1.18760168552399,0.18403896689415,-0.237715750932693,1,-0.699999988079071,1.08312034606934,-0.684657454490662
84062500.00,1.18862950801849,0.182681933045387,-0.236589327454567,1,-0.699999988079071,1.102942943573,-0.637609004974365
84166666.67,0.641721606254578,0.184232041239738,-0.234473362565041,1,-0.699999988079071,1.07394635677338,-0.632523655891418
84270833.33,-0.219024270772934,0.186780199408531,-0.2332833558321,1,-0.699999988079071,1.03038036823273,-0.628891706466675
84375000.00,-0.818565368652344,0.19398121535778,-0.228780582547188,1,-0.699999988079071,0.909718930721283,-0.649837672710419
84479166.67,-1.21134376525879,0.189946532249451,-0.233347356319427,1,-0.699999988079071,0.978032946586609,-0.687040686607361
84583333.33,-0.998841106891632,0.188603311777115,-0.233065843582153,1,-0.699999988079071,0.996479868888855,-0.709074795246124
84687500.00,-0.230402052402496,0.190261825919151,-0.237589433789253,1,-0.699999988079071,0.967184126377106,-0.785192370414734
84791666.67,0.624331176280975,0.186961710453033,-0.240335375070572,1,-0.699999988079071,1.0197719335556,-0.705009400844574
84895833.33,1.2265408039093,0.181845232844353,-0.237397149205208,1,-0.699999988079071,1.10284328460693,-0.717447400093079
85000000.00,1.1691130399704,0.183733358979225,-0.236268848180771,1,-0.699999988079071,1.06904196739197,-0.643864274024963
85104166.67,0.631078898906708,0.183955177664757,-0.233539745211601,1,-0.699999988079071,1.06429290771484,-0.600011169910431
85208333.33,-0.211151301860809,0.183568939566612,-0.232784807682037,1,-0.699999988079071,1.06834173202515,-0.650403439998627
85312500.00,-0.931969583034515,0.18779730796814,-0.234213456511497,1,-0.699999988079071,0.996909856796265,-0.671288132667542
85416666.67,-1.1771467924118,0.187839314341545,-0.236090183258057,1,-0.699999988079071,0.993366718292236,-0.71831214427948
85520833.33,-0.910226225852966,0.189079597592354,-0.23719397187233,1,-0.699999988079071,0.970485746860504,-0.730823695659637
85625000.00,-0.217219218611717,0.190613493323326,-0.238250628113747,1,-0.699999988079071,0.944485008716583,-0.708131194114685
85729166.67,0.696302592754364,0.184896662831306,-0.238589957356453,1,-0.699999988079071,1.03772687911987,-0.679067373275757
85833333.33,1.24904644489288,0.180696338415146,-0.237861260771751,1,-0.699999988079071,1.10561263561249,-0.662388384342194
85937500.00,1.17263197898865,0.182782143354416,-0.237718462944031,1,-0.699999988079071,1.06854295730591,-0.646335959434509
86041666.67,0.617305874824524,0.184116795659065,-0.235450208187103,1,-0.699999988079071,1.04405331611633,-0.641709327697754
86145833.33,-0.25545060634613,0.18500080704689,-0.233931824564934,1,-0.699999988079071,1.02712881565094,-0.655742883682251
86250000.00,-0.956066846847534,0.186567932367325,-0.234661012887955,1,-0.699999988079071,0.998462677001953,-0.661018013954163
86354166.67,-1.18796944618225,0.187733113765717,-0.236646190285683,1,-0.699999988079071,0.978420853614807,-0.698768436908722
86458333.33,-0.916940152645111,0.186631008982658,-0.236283868551254,1,-0.699999988079071,0.994734585285187,-0.725014448165894
86562500.00,-0.170748919248581,0.186893805861473,-0.237937450408936,1,-0.699999988079071,0.987738966941834,-0.714745998382568
86666666.67,0.666465759277344,0.184718310832977,-0.238653644919395,1,-0.699999988079071,1.02217996120453,-0.683064699172974
86770833.33,1.19904565811157,0.180536478757858,-0.240481555461884,1,-0.699999988079071,1.08948636054993,-0.690481126308441
86875000.00,1.21652543544769,0.180015712976456,-0.236981019377708,1,-0.699999988079071,1.09596908092499,-0.666215121746063
86979166.67,0.614004909992218,0.182157397270203,-0.236219733953476,1,-0.699999988079071,1.05786514282227,-0.651402950286865
87083333.33,-0.252364814281464,0.183933570981026,-0.234372645616531,1,-0.699999988079071,1.02648270130157,-0.627472162246704
87187500.00,-0.934919953346252,0.187298461794853,-0.234434679150581,1,-0.699999988079071,0.968641579151154,-0.686808943748474
87291666.67,-1.20366549491882,0.185692682862282,-0.237640157341957,1,-0.699999988079071,0.993107259273529,-0.701357126235962
87395833.33,-0.917594134807587,0.185118272900581,-0.238503783941269,1,-0.699999988079071,1.00166928768158,-0.73356157541275
87500000.00,-0.143713042140007,0.184747889637947,-0.23903214931488,1,-0.699999988079071,1.00507164001465,-0.733388066291809
87604166.67,0.67340487241745,0.18459178507328,-0.241015300154686,1,-0.699999988079071,1.00560462474823,-0.68194591999054
87708333.33,1.19489800930023,0.180688798427582,-0.242463052272797,1,-0.699999988079071,1.06849789619446,-0.666011869907379
87812500.00,1.16232216358185,0.180517688393593,-0.238638386130333,1,-0.699999988079071,1.06871819496155,-0.661665141582489
87916666.67,0.617375314235687,0.181993499398232,-0.235062316060066,1,-0.699999988079071,1.04175007343292,-0.63057267665863
88020833.33,-0.257116675376892,0.183060556650162,-0.234774976968765,1,-0.699999988079071,1.02260565757751,-0.6089688539505
88125000.00,-0.894912958145142,0.187408179044724,-0.23720908164978,1,-0.699999988079071,0.948553442955017,-0.674417972564697
88229166.67,-1.27813839912415,0.183451816439629,-0.236167475581169,1,-0.699999988079071,1.01276063919067,-0.735960721969604
88333333.33,-0.886807262897491,0.185659751296043,-0.239069655537605,1,-0.699999988079071,0.973905742168427,-0.741967022418976
88437500.00,-0.121660277247429,0.183672651648521,-0.240524992346764,1,-0.699999988079071,1.00600516796112,-0.703020930290222
